,Title,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,URI
0,The Stooges,The Stooges,0.388,0.54524994,6.25,-11.627875,0.625,0.0348375,0.018561836,0.046240363,0.226725,0.4189125,116.80788,259055.0,4.0,spotify:album:3MANoCcmaHWeXSuWiO3iVo
1,Off the Wall,Michael Jackson,0.77300006,0.58068,3.8,-14.257601,0.7,0.05533,0.30810004,0.039418228,0.12777999,0.7777,116.168396,254485.4,4.0,spotify:album:2ZytN2cY4Zjrr9ukb2rqTP
2,In Concert,Derek & The Dominos,0.41444445,0.7128889,3.3333333,-11.782223,0.6666667,0.04088889,0.36294445,0.119321994,0.66366667,0.60833335,119.61077,599540.3,3.8888888,spotify:album:0lctewrLljhj5GWi5fdq1F
3,Concerts,Henry Cow,0.33595455,0.35968181,4.0454545,-19.852955,0.59090906,0.097890906,0.5242254,0.49729836,0.30281362,0.24410456,105.57718,340205.38,3.6363637,spotify:album:6U7n6P3F4865UVPuOAXxW3
4,Pétrouchka; Le Sacre du printemps,Cleveland Orchestra / Pierre Boulez,0.31116664,0.10926666,5.5,-22.515999,0.16666667,0.050983336,0.937,0.6313333,0.14986667,0.07698333,123.919,683333.3,3.8333333,spotify:album:6Kw2JUWZcVEQPIkiTg9y8j
5,Rocks the House,Etta James,0.40545455,0.53154546,4.2727275,-11.893818,1.0,0.053663637,0.7080909,0.0006361509,0.7070909,0.61636364,125.29873,229696.64,3.6363637,spotify:album:4XmKdBEndE6UnnbrSUN5Dk
6,Mule Variations,Tom Waits,0.524125,0.418125,4.1875,-11.546438,0.8125,0.09665625,0.755375,0.08332001,0.2393125,0.422375,110.29199,265024.2,3.625,spotify:album:7cAcex6xw4fP67ltgn1gm3
7,João Gilberto,João Gilberto,0.5460952,0.18580952,4.4761906,-19.684713,0.71428573,0.0928381,0.89538103,0.26819235,0.31559524,0.57838094,121.89481,217504.19,3.952381,spotify:album:4pUsMoa4fayB4dCGpNrVLc
8,Nocturnes,Maurizio Pollini,0.2686842,0.020908948,5.6842103,-29.100895,0.7894737,0.0404,0.9935263,0.90800005,0.091689475,0.07674211,94.77064,285860.38,3.4736843,spotify:album:2aoSpTAjFaMvaZeruqnCVv
9,Pink,Boris,0.22196363,0.78586364,5.7272725,-3.9930909,0.72727275,0.06667273,0.078586034,0.5029109,0.18654546,0.15830001,109.767624,258414.55,4.0,spotify:album:0L7mC9kTa31p3cEaFwHIgD
10,"Stories From the City, Stories From the Sea",PJ Harvey,0.5125833,0.5671667,4.25,-8.108999,0.6666667,0.034866665,0.24222897,0.055334896,0.13433333,0.35477498,128.81099,236035.58,3.5,spotify:album:0hBWhJEmVyNPG2Jq71CJXz
11,Gnossiennes; Gymnopédies; Ogives; Trois sarabandes; Petite ouverture à danser,Reinbert de Leeuw,0.41717649,0.005474824,4.647059,-36.183056,0.47058824,0.12777647,0.9922942,0.9488824,0.11804118,0.28361174,91.43858,235964.4,3.4705882,spotify:album:2Bh6i5w5LISy0tNiIPm8cL
12,Rhapsody in Blue; An American in Paris,Columbia Symphony Orchestra / New York Philharmonic / Leonard Bernstein,0.244,0.208,7.0,-18.5315,1.0,0.04315,0.94949996,0.8215,0.1795,0.09555,77.538,1044967.0,4.0,spotify:album:7y2gHGuQhJmesRiNO8d8fK
13,One From the Vault,Grateful Dead,0.5510625,0.47530624,4.6875,-14.137062,0.875,0.051968753,0.66225,0.23920564,0.50474375,0.546625,121.20794,457223.38,3.875,spotify:album:7K5jvjbQB05gnFxsgwPvmt
14,Piece of Mind,Iron Maiden,0.30544445,0.8986667,4.4444447,-5.304333,0.33333334,0.09333334,0.2124111,0.063813776,0.25844446,0.45355558,132.93356,307672.56,3.8888888,spotify:album:6iVSpex7UohpwPOYZEYmvm
15,Green River,Creedence Clearwater Revival,0.6017142,0.71864283,4.142857,-8.275357,0.9285714,0.032164287,0.13817929,0.14839391,0.19254287,0.8215714,132.34715,191557.0,3.9285715,spotify:album:0i9mOB6mPGqwVvtJEXiwPG
16,Left Hand Path,Entombed,0.19708334,0.96366674,5.25,-7.1839995,1.0,0.11324167,2.874167e-06,0.56203336,0.20505834,0.21566665,132.96208,236213.25,4.0,spotify:album:5nrZejD99ZmAXrmrouIJcU
17,Glastonbury 2000,Bowie,0.50172734,0.8549545,5.090909,-8.864136,0.72727275,0.08139546,0.09142437,0.020578293,0.9316364,0.39527273,119.19668,312203.62,3.9545455,spotify:album:6frjpRu2P0fdF9xSS9stjY
18,Offering: Live at Temple University,John Coltrane,0.35540003,0.57336,5.8,-11.2424,1.0,0.102740005,0.637,0.3384,0.49506003,0.39220002,97.895996,1104435.8,4.0,spotify:album:6fpayMNlNikn4c95Y7buYe
19,Run the Jewels 2,Run the Jewels,0.6361818,0.6463636,4.3636365,-7.8369083,0.8181818,0.22412728,0.09521728,0.051637884,0.26775455,0.32963637,127.323906,212870.27,4.0,spotify:album:6WBUyDe1Xy8QRwF6wzhJsY
20,...Like Clockwork,Queens of the Stone Age,0.41210002,0.6921,7.1,-5.9643,0.4,0.05326,0.18139909,0.05865735,0.25454,0.3626,129.3401,276322.8,3.6,spotify:album:5T5NM01392dvvd4EhGrCnj
21,Solar Music: Live,Grobschnitt,0.38113043,0.6959565,4.7391305,-8.190174,0.6086956,0.14245652,0.12615915,0.4484946,0.4060435,0.42624354,112.87231,400521.78,3.8695652,spotify:album:3iQbg29TjGXGuOihNrb0P1
22,Sinatra at the Sands,Sinatra With Count Basie & The Orchestra & Quincy Jones,0.43985716,0.50980955,4.3809524,-12.102667,0.85714287,0.26570955,0.53746235,0.03088129,0.8000001,0.48402858,109.72572,203893.33,3.6190476,spotify:album:2m0W0n7zBYmRNs1QAgoa6Z
23,Live at Montreux Jazz Festival,Anna von Hausswolff,0.18815,0.48533332,6.6666665,-12.663834,0.5,0.048866663,0.21166883,0.13107133,0.87033325,0.0812,105.6405,596304.5,3.6666667,spotify:album:6oG9NsYamnKxzA3HiFodlk
24,Magdalene,FKA twigs,0.4072222,0.3893333,2.1111112,-11.307667,0.44444445,0.0789,0.6591111,0.00580062,0.1502889,0.17772223,121.03022,259182.44,3.8888888,spotify:album:3DMR3yM5crnt1dG9lLaMTZ
25,The Glowing Man,Swans,0.213375,0.572,5.0,-9.1605,0.625,0.0428375,0.19389375,0.35095212,0.17731251,0.071274996,108.63901,888385.75,3.875,spotify:album:30FjZ3FGnMz4ita5zhqgkl
26,Nursery Cryme,Genesis,0.41514286,0.34685713,6.428571,-15.564572,0.5714286,0.056842856,0.37938574,0.017344814,0.17505714,0.3139,123.412865,338361.84,4.0,spotify:album:1ixuwlmJ9AOYGZCc2WrLwo
27,"My Arms, Your Hearse",Opeth,0.32654545,0.78345454,6.3636365,-9.812364,0.36363637,0.08251819,0.16003217,0.51679,0.18320909,0.19691,113.383736,342618.2,3.3636363,spotify:album:4b7oroZfX3w5vaRaotvr6p
28,Imaginations From the Other Side,Blind Guardian,0.40916666,0.9099999,5.3333335,-4.441834,0.33333334,0.077583335,0.06436745,0.15704751,0.16326667,0.24683331,154.75783,334788.84,4.0,spotify:album:26B8ymdqbI7cBSGclGRy9w
29,In a Hole,The Fall,0.34180883,0.77352947,4.852941,-9.086266,0.61764705,0.119055875,0.26814878,0.13774695,0.41126764,0.3232088,118.03046,304618.84,3.9411764,spotify:album:4SYX9o2QjqVfbneBX4XZvh
30,Talking Heads: 77,Talking Heads,0.712875,0.6345,4.625,-7.775687,0.6875,0.046481248,0.17504999,0.00095851003,0.182,0.8275,123.7105,205439.94,4.0,spotify:album:5eqcF7pWzHgWpGdEmHgeSN
31,Blues for the Red Sun,Kyuss,0.3152143,0.57640725,3.7142856,-16.503073,0.5,0.038192857,0.14669965,0.57960665,0.22904286,0.39360714,114.303505,218264.0,3.7142856,spotify:album:7wXj8GxTkGAUU99DXR7n2f
32,Buena Vista Social Club,Buena Vista Social Club,0.5560714,0.35771427,4.285714,-14.950357,0.64285713,0.03814286,0.8022857,0.15988156,0.18164286,0.6545715,118.74851,256362.78,3.9285715,spotify:album:6DPdEaZ0KDBCCgXyy4q8bi
33,Nightfall,Candlemass,0.24388234,0.67529416,6.1764708,-6.5624704,0.8235294,0.08375882,0.058905736,0.33730316,0.18581764,0.26144117,110.25717,370019.6,3.8823528,spotify:album:5y8FM8jR8VZZnn5JqYNB8X
34,We Insist! Max Roach's Freedom Now Suite,Max Roach,0.43719998,0.3516,5.2,-15.6414,0.8,0.047739998,0.6322,0.14602873,0.1796,0.4716,108.60559,448333.2,4.2,spotify:album:4f0Yjw7TR3BEdIsmZDg0K7
35,Pierced From Within,Suffocation,0.29655558,0.8656667,4.5555553,-10.305668,0.5555556,0.10896667,2.3844445e-06,0.9392222,0.12483333,0.6245555,112.893,302906.66,3.8888888,spotify:album:3DkYd4sSQypuGcrsw2sU5K
36,The Rocky Horror Picture Show,Various Artists,0.43275,0.4260625,4.375,-13.580375,0.875,0.12039375,0.33525,0.052423496,0.187125,0.46606252,134.65149,205281.88,4.0,spotify:album:4QviryaneolcRmDB57SLco
37,Cowboy Bebop Blue,Seatbelts,0.473375,0.5122379,5.25,-11.355708,0.8333333,0.087975,0.43361294,0.42289075,0.122475006,0.4211125,126.858246,224807.25,3.4583333,spotify:album:0OI4ecYmvVp2LHrLQJG8id
38,Recorded Live,Ten Years After,0.3752857,0.50670475,7.6666665,-14.592619,0.47619048,0.06842857,0.3395419,0.35034263,0.6311429,0.46080953,134.75404,440362.56,3.8095238,spotify:album:0y03RPLmnnQkDJFNGyZj1X
39,Anthology,John Lennon,0.5823143,0.7799999,5.3142858,-6.5465145,0.6571429,0.07197714,0.034775276,0.48113835,0.23636286,0.54768574,110.276375,136015.92,3.8857143,spotify:album:7aKzrHCJ0Y5Mdb44uMDakg
40,Kill 'Em All,Metallica,0.27729997,0.9361,5.0,-6.0389,0.7,0.19252999,0.0046892804,0.203921,0.20985,0.29729998,154.6752,307469.4,4.0,spotify:album:0vNBQof86Lv5gLuf26ML7o
41,Goo,Sonic Youth,0.23436365,0.78890914,6.2727275,-11.305364,0.72727275,0.057190906,0.23414078,0.40614766,0.26033637,0.27063635,150.31718,271402.28,4.090909,spotify:album:5iYYQwB0oH9FVyVlaOXZdr
42,The Woods,Sleater-Kinney,0.338,0.90459996,6.9,-3.0016,0.6,0.080139995,0.03985889,0.095497504,0.19811,0.33940002,144.18321,288535.9,4.0,spotify:album:73ctstwnbNifu5U902X2zL
