,Title,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,URI
0,The Inalienable Dreamless,Discordance Axis,0.23955497,0.87645495,6.7,-8.1094,0.7,0.12893,0.039756157,0.79990494,0.17674997,0.08674,114.32705,91005.25,3.5,spotify:album:68rVsimZLYFn8z3hrzXOBO
1,Slumber of Sullen Eyes,Demigod,0.18764375,0.8571875,6.25,-10.495874,0.6875,0.09464376,0.059570618,0.91068745,0.14865625,0.15959999,135.77744,241890.0,3.8125,spotify:album:26h9GVIulFIUuGwiTawZ2B
2,Screams of Anguish,Brutality,0.2165,0.7869,6.3,-13.005099,0.6,0.08408,0.17981857,0.85059994,0.17782,0.16237,115.689,272327.9,3.7,spotify:album:3Zt2khv5ilvA67oFaztcVW
3,Diablo II: Soundtrack,Matt Uelmen,0.24541175,0.52870595,4.882353,-13.087529,0.4117647,0.05162353,0.3166512,0.8618823,0.16911764,0.08279412,103.79482,216208.77,3.8823528,spotify:album:7tqcyvjNAziHZYSMXzUPFu
4,Earth Inferno,Fields of the Nephilim,0.26844442,0.7728889,4.2222223,-11.096556,0.7777778,0.0533,0.024984444,0.34906664,0.8975556,0.27168888,130.31711,516637.12,4.0,spotify:album:718V0NcTtPo6d7pv6rKluG
5,Swiss Movement,Les McCann & Eddie Harris,0.4765,0.488,4.6666665,-13.691666,0.33333334,0.10105,0.67116666,0.0010416001,0.78449994,0.52466667,150.93582,474104.16,3.8333333,spotify:album:1CH2KvMLkMG6Py1S6sY41g
6,Immunity,Jon Hopkins,0.60725003,0.510375,4.875,-13.0485,0.875,0.1681875,0.3633,0.7398437,0.13986251,0.13010001,127.75963,450466.62,3.875,spotify:album:1rxWlYQcH945S3jpIMYR35
7,The Score,Fugees,0.6937059,0.39942944,4.1764708,-14.825294,0.5882353,0.36992943,0.2734082,3.32e-06,0.32374704,0.5766471,100.97547,274658.88,3.9411764,spotify:album:18XFe4CPBgVezXkxZP6rTb
8,Blood Money,Tom Waits,0.44369227,0.43869227,4.8461537,-10.459848,0.53846157,0.043884616,0.75861543,0.28574747,0.20479232,0.38337693,106.89377,195111.92,3.8461537,spotify:album:7D22RFqWGicOV7hpIiCdlq
9,Sunset Mission,Bohren & der Club of Gore,0.21188888,0.073022224,4.4444447,-23.266,0.44444445,0.040744446,0.85722226,0.9292222,0.12484445,0.09737778,129.54689,490591.0,3.3333333,spotify:album:3CrWNG2oqbEBHKAqfZP6CO
10,Love It to Death,Alice Cooper,0.5244444,0.49977773,4.7777777,-14.4805565,0.6666667,0.048744448,0.28195557,0.08310244,0.18986666,0.61777776,122.435005,247123.11,4.0,spotify:album:6p7jHbG5Bd6z2JgfKx0um7
11,Tell Me About the Long Dark Path Home,The Newfound Interest in Connecticut,0.2647,0.6824,5.9,-9.093801,0.3,0.11407,0.098369,0.18031721,0.28081003,0.10371001,114.3033,291154.6,3.8,spotify:album:6KrJF9D46M88UeZGZaoU2E
12,Machine Gun Etiquette,The Damned,0.307,0.84436363,4.909091,-11.689819,0.8181818,0.09496364,0.012577891,0.106686585,0.28242728,0.3181818,131.215,200693.36,4.0,spotify:album:2sLM0RQdMf8bBGOetQIb4F
13,The Silent Corner and the Empty Stage,Peter Hammill,0.295375,0.411125,3.875,-10.933875,0.625,0.0399625,0.52972496,0.09238429,0.18812498,0.12352499,100.606255,429023.75,3.875,spotify:album:6HKPoLwVq89yink317xdFs
