,Title,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,URI
26,Liar,The Jesus Lizard,0.4013571,0.7970714,6.0,-9.3545,0.42857143,0.051664285,0.0008016614,0.21249235,0.11852857,0.6435,130.92613,196098.0,3.9285715,spotify:album:3NB6ddIwEHykimIztj8kuK
27,Battle Cry,Omen,0.3426,0.89000005,7.2,-7.2279,0.7,0.08648,0.000133272,2.0695e-05,0.2286,0.49459997,128.75009,219722.6,3.8,spotify:album:7MSYL2jfE6XXdVpTv2SUux
28,Cuphead,Kristofer Maddigan,0.62326,0.56385195,4.76,-8.75778,0.52,0.084468,0.65966004,0.54811645,0.141404,0.66803396,131.59462,187238.42,3.78,spotify:album:3jQ7eqotwovipeZ3j3rMqu
29,Old No. 1,Guy Clark,0.60249996,0.3437,4.2,-11.145399,0.9,0.036069997,0.7394,0.00038086102,0.13717,0.4265,105.9361,218686.6,3.9,spotify:album:0tBjzfZrOEXzj1wcM5HphZ
30,Corazones,Los Prisioneros,0.685,0.6427778,7.7777777,-8.270667,0.33333334,0.053433336,0.010456666,0.011789702,0.11485556,0.70033336,111.88533,303760.0,3.8888888,spotify:album:1XqzXn8a7Z15Z5tBSouXcH
31,Blues in Orbit,Duke Ellington,0.46910527,0.29391578,5.105263,-14.626895,0.47368422,0.04622105,0.658842,0.22611575,0.13023683,0.4783158,131.53351,192425.2,3.8947368,spotify:album:5nifIOxB4n4XLxgJDqGJUG
32,Transient,Gaelle,0.70075005,0.65800005,5.5833335,-8.552167,0.083333336,0.061399996,0.20248334,0.09375223,0.21570002,0.42035,123.76684,272122.34,4.0833335,spotify:album:46FHK8OH7mIfEjwNKpCIZo
33,Jards Macalé,Jards Macalé,0.54846156,0.41551542,4.1538463,-9.742309,0.6923077,0.067315385,0.5665769,0.0017520445,0.13543846,0.35400003,103.51092,234051.23,3.7692308,spotify:album:7MjMwGz8Q70ZmDJAIZfbJI
34,The Mack,Willie Hutch,0.4722222,0.5823333,4.5555553,-11.859333,0.44444445,0.06895556,0.44607776,0.19992219,0.27145556,0.5444889,120.17022,248229.67,3.8888888,spotify:album:0iOSxNFl6YhVjWxlzyq5T1
35,Vs.,Pearl Jam,0.43120003,0.7601333,5.5333333,-7.5884004,0.8,0.0446,0.09866113,0.12922928,0.17583333,0.45093334,135.37627,239176.06,3.8666666,spotify:album:3BSOiAas8BpJOii3kCPyjV
36,Paul Simon,Paul Simon,0.5856429,0.36232144,6.142857,-14.4728565,0.9285714,0.049071427,0.6626429,0.013926379,0.121999994,0.5327143,110.01978,183785.64,3.857143,spotify:album:7npBPiCHjPj8PVIGPuHXep
37,Replicas,Tubeway Army,0.5559375,0.56993747,4.9375,-10.882687,0.9375,0.05421875,0.043562315,0.14268005,0.1661375,0.5169188,119.89787,263144.12,4.0,spotify:album:14chsctrt7Rx38fQUbfqFz
38,Chaos A.D.,Sepultura,0.39225,0.90812504,5.125,-6.5699997,0.8125,0.12361875,0.05558718,0.27378774,0.35600623,0.23937501,116.87731,261176.75,3.9375,spotify:album:5r4qa5AIQUVypFRXQzjaiu
39,Cricklewood Green,Ten Years After,0.4055,0.6005,5.0,-9.44875,0.75,0.036650002,0.07660987,0.3310879,0.21755001,0.64225,124.951126,292654.0,4.0,spotify:album:1WQORrTyf78zuJCBziHfQg
40,Legenda,Armia,0.2244,0.8802999,3.4,-6.879,0.8,0.10282,0.001018074,0.20884037,0.2776,0.28853,146.75491,241638.7,3.9,spotify:album:4admQZFbQ6xtAV99ZBwhDi
41,Espelho cristalino,Alceu Valença,0.49225003,0.54875004,6.25,-12.054125,0.5,0.091225,0.192925,4.22025e-05,0.1771625,0.42375,122.74025,222966.75,4.0,spotify:album:284L2v93o2g753uSlNgZRj
42,Spem in alium,The Tallis Scholars / Peter Phillips,0.18159798,0.10518741,5.5,-25.30174,0.48,0.045619994,0.9935799,0.034448326,0.14797801,0.084692,97.39551,117436.76,3.6,spotify:album:0oP0XZoe62zQPxBNlayPmP
43,Hilarious,Louis C.K.,0.49627274,0.9572727,1.8181819,-5.254273,0.6363636,0.9207273,0.8133636,0.0,0.69072735,0.19927272,105.049,433476.72,3.4545455,spotify:album:0Q2nojEtnZQLrWr9VhjJUc
44,Jazz Portraits: Mingus in Wonderland,Charles Mingus,0.49699998,0.30699998,4.25,-15.1235,0.75,0.098275,0.8375,0.181301,0.77975,0.39275,120.96051,663164.25,4.0,spotify:album:4dkPMU6yIGsMW7oyhexxg0
45,La espada y la pared,Los Tres,0.49707696,0.51638454,3.8461537,-9.70423,0.7692308,0.03296154,0.17915502,0.11444139,0.1563923,0.49132305,119.276085,234046.16,4.076923,spotify:album:3jk145dS5MIeZ6NZBAtvY0
46,Live at the Isle of Wight,Taste,0.36150002,0.6321667,4.6666665,-15.0146675,0.8333333,0.16808333,0.29063335,0.17284667,0.6978333,0.48916665,110.70283,503249.0,3.6666667,spotify:album:0t8HoDnz73048n4LWlUqHU
47,Alfredo,Freddie Gibbs & The Alchemist,0.50689995,0.5876,4.4,-10.7407,0.6,0.30560002,0.63710004,0.0034524892,0.33699998,0.49369997,89.830605,210240.0,4.0,spotify:album:3znl1qe13kyjQv7KcR685N
48,In Sides,Orbital,0.6067778,0.7493334,6.2222223,-11.568556,0.44444445,0.052411113,0.040884778,0.68666667,0.14772223,0.34976667,135.32556,510770.22,4.0,spotify:album:1wXyzUmlgN6G1DXIY0Sh8l
49,Script for a Jester's Tear,Marillion,0.3747692,0.6086154,5.0,-10.014384,0.46153846,0.054192305,0.017966839,0.06799331,0.1662077,0.3444154,125.45577,443352.94,4.0,spotify:album:5mbtDQJwsioLCEGIT1cbOJ
50,Get Happy!!,Elvis Costello & The Attractions,0.5603,0.63390005,3.65,-8.895551,0.95,0.039075,0.08275976,0.07368587,0.17193499,0.82285005,131.28554,144458.6,3.9,spotify:album:38sLlYZ4sdfm5SvjmshqcY
51,War Master,Bolt Thrower,0.15844,0.8698,3.1,-12.8722,0.9,0.1143,3.5689998e-06,0.84589994,0.09928,0.18202,102.4541,276299.9,4.0,spotify:album:0kKysrWW9kAUyYlM1Q8Zu9
52,Bilateral,Leprous,0.5303,0.81259996,3.9,-5.8535004,0.5,0.04375,0.03214744,0.11256109,0.14264001,0.3106,104.655396,348969.2,3.8,spotify:album:6BA8AsaJWZ4HfoaDZC67tZ
53,The Ultra-Violence,Death Angel,0.257625,0.9625,2.375,-3.52675,0.75,0.182625,7.96875e-05,0.09369598,0.33325,0.2343375,119.07887,340220.12,4.125,spotify:album:35flmem6J4bq04Kvib1ghA
54,Death Church,Rudimentary Peni,0.3510476,0.86990464,4.7619047,-7.1264286,0.71428573,0.044223808,0.0043669147,0.4763925,0.3136905,0.4650476,146.9654,93995.38,3.952381,spotify:album:0KXkZEPaYRXHOtYtTjrHbI
55,Inferno,Motörhead,0.45616665,0.95208335,6.4166665,-4.7657504,0.8333333,0.10083335,0.075288326,0.04650682,0.22415,0.27733332,132.1414,242682.08,3.9166667,spotify:album:7jGmwdQeJQ7kZ8LN7uN4lD
56,Burnt Offerings,Iced Earth,0.358625,0.84237504,8.375,-8.4165,0.625,0.0923625,0.11339937,0.41091472,0.117312506,0.1945,119.67313,395525.12,3.875,spotify:album:0y89MABNBicWddVTsfX2wI
57,Paix,Catherine Ribeiro + Alpes,0.33525002,0.5045,4.5,-13.434,0.75,0.081975,0.6575,0.75625,0.27547503,0.350425,122.923004,698796.75,3.75,spotify:album:6lxen0rYoFUX8lVuGIQQID
58,V: The New Mythology Suite,Symphony X,0.3546154,0.7713077,6.0,-7.122385,0.6923077,0.07376154,0.25836688,0.27348518,0.20790768,0.22566153,124.23823,289795.94,3.6923077,spotify:album:3RZHKuP6hVRsHAVruUfDXE
