,Title,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,URI
26,East Broadway Run Down,Sonny Rollins,0.4643333,0.39900002,5.3333335,-12.323334,1.0,0.044866666,0.3726667,0.04520667,0.11166667,0.346,111.16333,768444.7,4.0,spotify:album:6VFSJ5bKlJaZBbJaMPYTXQ
27,Hades: Original Soundtrack,Darren Korb,0.46435335,0.61181337,3.5666666,-8.8168335,0.6666667,0.04007667,0.3857864,0.68260604,0.14415668,0.39850995,122.684906,299472.47,3.8666666,spotify:album:5jTYZA6b4VoSRnR5TMldgb
28,Circle in the Round,Miles Davis,0.43970004,0.46449003,4.8,-13.900999,0.5,0.05194,0.62340003,0.15707329,0.21603,0.5153,108.044395,590517.4,3.9,spotify:album:5W7R9kGDhBeRGNen3jSuql
29,Lupe Fiasco's Food & Liquor,Lupe Fiasco,0.561875,0.80956244,6.6875,-4.698562,0.75,0.17738125,0.0688305,5.9905622e-05,0.25787503,0.48101872,102.2105,270804.06,4.0,spotify:album:0TDJRkEr2SrhWTetdkEzED
30,White Pepper,Ween,0.534,0.65524995,6.4166665,-8.003834,0.6666667,0.04058333,0.13170938,0.38894632,0.19248332,0.5776667,135.3705,197737.75,3.75,spotify:album:6xHEzpqk0yDUt2uuodhWqF
31,Madman Across the Water,Elton John,0.3958889,0.46944442,4.4444447,-12.614555,0.8888889,0.036311112,0.4280111,0.0032970333,0.1534222,0.40944445,142.10811,302014.66,3.8888888,spotify:album:2OZbaW9tgO62ndm375lFZr
32,Imaginary Sonicscape,Sigh,0.2706,0.8152,6.3,-5.6966004,0.5,0.0454,0.110885695,0.14523274,0.24644999,0.29124,134.3141,381541.4,3.6,spotify:album:1Nsz6t50Wz9nAGZFdIw8d1
33,Out of Season,Beth Gibbons & Rustin Man,0.42470002,0.2333,4.4,-16.604498,0.4,0.03723,0.85690004,0.275706,0.15144001,0.17201002,124.91941,262306.7,3.9,spotify:album:6nTOCPzj8JiohYlZxW5Zl1
34,Blow by Blow,Jeff Beck,0.5228889,0.6731111,5.888889,-9.477555,0.6666667,0.047044445,0.15661111,0.76233333,0.103933334,0.67844445,112.50255,297496.44,4.0,spotify:album:6fhTDVBs7qeoP3254hMu6u
35,Everything Goes Numb,Streetlight Manifesto,0.58475006,0.8808333,5.6666665,-5.7256665,0.6666667,0.10485834,0.03344917,0.001505565,0.15915833,0.68825,138.08417,275899.0,4.0,spotify:album:5slTcrsJ9B8Q4q8rA135XE
